home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
Hungary,USSR,HUN,URS,0.0,1.0,,,0.0,1.0,USSR,WIN_REGULAR,1960,1959-09-27,1959-09-27T14:30:00Z,1.0,,2,,,,,,FINISHED,SECOND_LEG,ROUND_OF_16,KNOCK_OUT,78481.0,62393,HUN,25311.0,47.5030972,19.0981889,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 58, 'second': 1}, 'international_name': 'Yuri Voinov', 'club_shirt_name': 'Voinov', 'country_code': 'URS', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Budapest,Ferenc Puskás Stadion (demolished),Puskás Aréna,Ferenc Puskás Stadion (demolished),Ferenc Puskás Stadion,Népstadion
Austria,Norway,AUT,NOR,5.0,2.0,,,5.0,2.0,Austria,WIN_REGULAR,1960,1959-09-23,1959-09-23T18:00:00Z,1.0,,2,,,,,,FINISHED,SECOND_LEG,ROUND_OF_16,KNOCK_OUT,34989.0,62085,AUT,49898.0,48.2071889,16.4205083,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 3, 'second': 7}, 'international_name': 'Erich Hof', 'club_shirt_name': 'Hof', 'country_code': 'AUT', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 19, 'second': 2}, 'international_name': 'Ove Ødegaard', 'club_shirt_name': 'Ødegaard', 'country_code': 'NOR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 21, 'second': 3}, 'international_name': 'Horst Nemec', 'club_shirt_name': 'Nemec', 'country_code': 'AUT', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 25, 'second': 4}, 'international_name': 'Erich Hof', 'club_shirt_name': 'Hof', 'country_code': 'AUT', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'FIRST_HALF', 'time': {'minute': 35, 'second': 5}, 'international_name': 'Ove Ødegaard', 'club_shirt_name': 'Ødegaard', 'country_code': 'NOR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 59, 'second': 6}, 'international_name': 'Karl Skerlan', 'club_shirt_name': 'Skerlan', 'country_code': 'AUT', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 67, 'second': 1}, 'international_name': 'Horst Nemec', 'club_shirt_name': 'Nemec', 'country_code': 'AUT', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion
Norway,Austria,NOR,AUT,0.0,1.0,,,0.0,1.0,Austria,WIN_REGULAR,1960,1959-05-20,1959-05-20T18:00:00Z,1.0,,1,,,,,,FINISHED,FIRST_LEG,ROUND_OF_16,KNOCK_OUT,27566.0,62397,NOR,27184.0,59.9490472,10.7342139,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 32, 'second': 1}, 'international_name': 'Erich Hof', 'club_shirt_name': 'Hof', 'country_code': 'AUT', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Oslo,Ullevaal Stadion,Ullevaal Stadion,Ullevaal Stadion,Ullevaal Stadion,Ullevaal Stadion
USSR,Hungary,URS,HUN,3.0,1.0,,,3.0,1.0,USSR,WIN_REGULAR,1960,1958-09-28,1958-09-28T16:00:00Z,3.0,,1,,,,,,FINISHED,FIRST_LEG,ROUND_OF_16,KNOCK_OUT,100572.0,63818,RUS,81015.0,55.7157306,37.5536,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 4, 'second': 1}, 'international_name': 'Anatoli Ilyin', 'club_shirt_name': 'Ilyin', 'country_code': 'URS', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 20, 'second': 2}, 'international_name': 'Slava Metreveli', 'club_shirt_name': 'Metreveli', 'country_code': 'URS', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 32, 'second': 3}, 'international_name': 'Valentin Ivanov', 'club_shirt_name': 'Ivanov', 'country_code': 'URS', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 4}, 'international_name': 'János Göröcs', 'club_shirt_name': 'Göröcs', 'country_code': 'HUN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Moscow,Luzhniki Stadium,Luzhniki Stadium,Luzhniki Stadium,Luzhniki Stadium,Luzhniki Stadium
Czechoslovakia,Romania,TCH,ROU,3.0,0.0,,,3.0,0.0,Czechoslovakia,WIN_REGULAR,1960,1960-05-29,,,,2,,,,,,FINISHED,SECOND_LEG,QUARTER_FINALS,KNOCK_OUT,31057.0,62389,SVK,29887.0,48.163625,17.1367333,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 1, 'second': 1}, 'international_name': 'Titus Buberník', 'club_shirt_name': 'Buberník', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 15, 'second': 2}, 'international_name': 'Titus Buberník', 'club_shirt_name': 'Buberník', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 18, 'second': 3}, 'international_name': 'Vlastimil Bubník', 'club_shirt_name': 'Bubník', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Bratislava,Tehelné Pole (old stadium),Tehelné Pole,Tehelné Pole (old stadium),Tehelné Pole,ŠK Slovan Bratislava
USSR,Spain,URS,ESP,3.0,0.0,,,3.0,0.0,USSR,WIN_BY_FORFEIT,1960,1960-05-29,,,,2,,,,,,CANCELED,SECOND_LEG,QUARTER_FINALS,KNOCK_OUT,,,,,,,,,,,,,[],,,,,,
Spain,USSR,ESP,URS,0.0,0.0,0.0,0.0,0.0,3.0,USSR,WIN_BY_FORFEIT,1960,1960-05-22,,,,1,,,,,,CANCELED,FIRST_LEG,QUARTER_FINALS,KNOCK_OUT,,62401,ESP,76806.0,40.4530778,-3.6885194,105.0,68.0,,,,,[],Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,N/A
Yugoslavia,Portugal,YUG,POR,5.0,1.0,,,5.0,1.0,Yugoslavia,WIN_REGULAR,1960,1960-05-22,,,,2,,,,,,FINISHED,SECOND_LEG,QUARTER_FINALS,KNOCK_OUT,43000.0,62398,SRB,29662.0,44.7888528,20.4591,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 8, 'second': 1}, 'international_name': 'Dragoslav Šekularac', 'club_shirt_name': 'Šekularac', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 29, 'second': 2}, 'international_name': 'Cavém', 'club_shirt_name': 'Cavém', 'country_code': 'POR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 45, 'second': 3}, 'international_name': 'Zvezdan Čebinac', 'club_shirt_name': 'Čebinac', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 50, 'second': 4}, 'international_name': 'Borivoje Kostić', 'club_shirt_name': 'Kostić', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 79, 'second': 5}, 'international_name': 'Milan Galić', 'club_shirt_name': 'Galić', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 88, 'second': 6}, 'international_name': 'Borivoje Kostić', 'club_shirt_name': 'Kostić', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Belgrade,Stadion FK Partizan,Stadion FK Partizan,Stadion FK Partizan,Stadion FK Partizan,Stadion FK Partizan
Romania,Czechoslovakia,ROU,TCH,0.0,2.0,,,0.0,2.0,Czechoslovakia,WIN_REGULAR,1960,1960-05-22,,,,1,,,,,,FINISHED,FIRST_LEG,QUARTER_FINALS,KNOCK_OUT,61306.0,62396,ROU,0.0,44.437225,26.1524972,0.0,0.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 9, 'second': 1}, 'international_name': 'Josef Masopust', 'club_shirt_name': 'Masopust', 'country_code': 'TCH', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 45, 'second': 2}, 'international_name': 'Vlastimil Bubník', 'club_shirt_name': 'Bubník', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Bucharest,23 August,23 August,23 August,23 August,23 August
Portugal,Yugoslavia,POR,YUG,2.0,1.0,,,2.0,1.0,Portugal,WIN_REGULAR,1960,1960-05-08,,,,1,,,,,,FINISHED,FIRST_LEG,QUARTER_FINALS,KNOCK_OUT,39978.0,62404,POR,37942.0,38.7088722,-9.2609361,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 30, 'second': 1}, 'international_name': 'Joaquim Santana', 'club_shirt_name': 'Santana', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 70, 'second': 2}, 'international_name': 'Matateu', 'club_shirt_name': 'Matateu', 'country_code': 'POR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 81, 'second': 3}, 'international_name': 'Borivoje Kostić', 'club_shirt_name': 'Kostić', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Oeiras,Nacional Do Jamor,Nacional Do Jamor,Nacional Do Jamor,Nacional Do Jamor,Nacional Do Jamor
